ID,Name,Owner,Folder,Views (all time),Created,Last Updated,URL
34,AF Dash,Unknown,Alex Foster's Personal Collection,14,2023-05-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/34
1718,12 Gebrauchtwagen,Unknown,Alexa von Bogdandy's Personal Collection,17,2025-04-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/1718
3070,Performance Top Models ,Unknown,Alexa von Bogdandy's Personal Collection,11,2025-10-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/3070
3103,Performance | Top Make Models ,Unknown,Alexa von Bogdandy's Personal Collection,19,2025-10-13,2026-03-13,https://carwow.metabaseapp.com/dashboard/3103
1618,SMC Affiliate,Unknown,Alexa von Bogdandy's Personal Collection,13,2025-03-13,2026-03-13,https://carwow.metabaseapp.com/dashboard/1618
1421,Sparneuwagen SMC,Unknown,Alexa von Bogdandy's Personal Collection,36,2025-02-24,2026-03-13,https://carwow.metabaseapp.com/dashboard/1421
1420,Springer SMC ,Unknown,Alexa von Bogdandy's Personal Collection,68,2025-02-24,2026-03-13,https://carwow.metabaseapp.com/dashboard/1420
1486,UIM SMC,Unknown,Alexa von Bogdandy's Personal Collection,36,2025-03-04,2026-03-13,https://carwow.metabaseapp.com/dashboard/1486
2278,{Test} Dealer Leasing Performance,Unknown,Alexa von Bogdandy's Personal Collection,12,2025-06-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/2278
2807,📊 | Monthly Affiliate Overview ,Unknown,Alexa von Bogdandy's Personal Collection,188,2025-08-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/2807
3928,BAM Pausation Tracker,Unknown,Burak Yilmaz's Personal Collection,20,2026-06-03,2026-06-03,https://carwow.metabaseapp.com/dashboard/3928
3895,BAM Pausation Tracker,Unknown,Burak Yilmaz's Personal Collection,2,2026-06-03,2026-06-03,https://carwow.metabaseapp.com/dashboard/3895
3664,Leasing,Unknown,Burak Yilmaz's Personal Collection,55,2026-05-04,2026-05-04,https://carwow.metabaseapp.com/dashboard/3664
1,Code quality ,Unknown,Carwow / Engineering,34,2023-03-02,2026-03-13,https://carwow.metabaseapp.com/dashboard/1
1453,Incidents,Unknown,Carwow / Engineering,51,2025-03-03,2026-03-13,https://carwow.metabaseapp.com/dashboard/1453
1651,Commercial Dashboard,Unknown,Carwow / Germany / MARKETPLACE,271559,2025-03-31,2026-04-21,https://carwow.metabaseapp.com/dashboard/1651
2575,Account Management Dashboard,Unknown,Carwow / Germany / MARKETPLACE / Commercial reporting ,3752,2025-07-10,2026-04-13,https://carwow.metabaseapp.com/dashboard/2575
2476,"Commercial Dashboard OUTDATED, don't use",Unknown,Carwow / Germany / MARKETPLACE / Commercial reporting ,853,2025-06-12,2026-03-13,https://carwow.metabaseapp.com/dashboard/2476
