dashboard_id,dashboard_name,dashboard_folder,question_id,question_name
1718,12 Gebrauchtwagen,Alexa von Bogdandy's Personal Collection,9835,{EXTERNAL) 12Gebrauchtwagen SMC Report  (Daily)
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13438,Sites w/ E2S <10% Rolling 28 days
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13442,Saving
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13439,Configurations & C2E (AM Filter hier nicht anwendbar)
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13443,Share of dealers offering leasing
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13435,Chargabeable Enquiries Share by product type - Duplicate
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13437,Share of Users w/x Offers
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13444,AVCOD New
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13450,Sales & E2S 
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13440,Chargeable Enquiries
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13440,Chargeable Enquiries
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,12742,Model Performance lx days
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,14391,Model Pricing Coverage
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13930,Churn Rate
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,15513,Pausierte Händler (letzte Woche)
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,8977,Dealership Performance Report
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,15678,Missing Models
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,15941,Revenue Detailed
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13929,Dealership_by_State - change - Duplicate
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,16239,Dealerships Change
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13451,Radiused Dealers - Duplicate
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,13449,Dealership_by_State - Duplicate - Duplicate
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,25411,Average Pricing Coverage per Make
2575,Account Management Dashboard,Carwow / Germany / MARKETPLACE / Commercial reporting ,25609,AVCOD old
3862,Account Management Dashboard - Duplicate,Salome Hörmann's Personal Collection,28120,Sites w/ E2S <10% Rolling 28 days
3862,Account Management Dashboard - Duplicate,Salome Hörmann's Personal Collection,28126,Saving
3862,Account Management Dashboard - Duplicate,Salome Hörmann's Personal Collection,28119,Share of dealers offering leasing
